Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
Fabrx Space,,,"https://www.glassdoor.com/job-listing/data-scientist-fabrx-space-JV_KO0,14_KE15,26.htm?jl=1008793620385",Data Scientist,Remote,$155K - $166K (Employer est.),"Advanced Degree in Computer Science, Data Science, or a related field. Working closely with our AI and development teams, this engineer will combine technical……",(Employer est.),Easy Apply,Data,30d+
PearlX5 ★,,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-pearlx-JV_KO0,14_KE15,21.htm?jl=1008841937328",Data Scientist,"Charlottesville, VA",$91K - $121K (Employer est.),"Effectively communicate technical concepts to internal stakeholders (including business development, engineering, and technology) regarding forecast methodology……",(Employer est.),Easy Apply,,30d+
"EPCVIP, Inc4.9 ★",https://media.glassdoor.com/sql/2474579/epcvip-squarelogo-1551300251380.png,4.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-epcvip-inc-JV_KO0,14_KE15,25.htm?jl=1008258344282",Data Scientist,"Los Angeles, CA",$100K - $150K (Employer est.),"The Data Scientist will collaborate with their team to prepare and develop data, features, and predictive models from ideation to production deployment.…",(Employer est.),Easy Apply,Data,30d+
Accenture4 ★,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,4 ★,"https://www.glassdoor.com/job-listing/sales-director-data-and-ai-accenture-JV_KO0,26_KE27,36.htm?jl=1008817263969",Sales Director - Data & AI,"Detroit, MI",,"You'll learn from and work with Accenture’s certified practitioners and Accenture will support you in growing your own tech stack, sales skills, and……",,,,30d+
Snowflake4 ★,https://media.glassdoor.com/sql/928471/snowflake-squareLogo-1657231318224.png,4 ★,"https://www.glassdoor.com/job-listing/principal-data-scientist-snowflake-JV_KO0,24_KE25,34.htm?jl=1008880821512",Principal Data Scientist,"San Mateo, CA",$180K - $276K (Employer est.),"Data storytelling , analysis & learnings to business leaders and technical stakeholders. Build framework and foundational high quality data pipelines , inform……",(Employer est.),,Data,30d+
Genentech4.1 ★,https://media.glassdoor.com/sql/274/genentech-squarelogo-1594327843664.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-genentech-JV_KO0,14_KE15,24.htm?jl=1008936137434",Data Scientist,"San Francisco, CA",$114K - $161K (Glassdoor est.),"Apply ML and applied statistics approaches to answer a variety of complex business, learning, and talent-related questions using multiple data sources and……",(Glassdoor est.),,data,2d
Axle Informatics3.4 ★,https://media.glassdoor.com/sql/853001/axle-informatics-squareLogo-1670885380885.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-trainee-axle-informatics-JV_KO0,22_KE23,39.htm?jl=1008503991101",Data Scientist Trainee,"Rockville, MD",$78K - $120K (Glassdoor est.),"With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying……",(Glassdoor est.),,data,30d+
Asurion3.3 ★,https://media.glassdoor.com/sql/16924/asurion-squarelogo-1560978172629.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-%E2%80%93-generative-ai-simplr-asurion-JV_KO0,37_KE38,45.htm?jl=1008912934622",Data Scientist – Generative AI - Simplr,"Nashville, TN",$87K - $136K (Glassdoor est.),"Requires a master’s degree in analytics, computer science, electrical engineering, computer engineering, or related advanced analytical & optimization fields.…",(Glassdoor est.),Easy Apply,,16d
WindESCo,https://media.glassdoor.com/sql/5057064/windesco-squarelogo-1643806909632.png,,"https://www.glassdoor.com/job-listing/data-scientist-windesco-JV_KO0,14_KE15,23.htm?jl=1008936208542",Data Scientist,Remote,,"You will be expected to provide thought leadership in state-of-the-art machine learning techniques, and collaborate closely with subject matter experts and……",,Easy Apply,,2d
AIVantage INC,,,"https://www.glassdoor.com/job-listing/data-scientist-aivantage-inc-JV_KO0,14_KE15,28.htm?jl=1008932683709",Data Scientist,Virginia,$100K - $150K (Employer est.),Works on complex technical projects or business issues requiring state of the art technical or industry knowledge.…,(Employer est.),Easy Apply,,4d
Consumers Energy3.1 ★,https://media.glassdoor.com/sql/14959/consumers-energy-squarelogo-1454621194432.png,3.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-consumers-energy-JV_KO0,14_KE15,31.htm?jl=1008937529157",Data Scientist,"Jackson, MI",$81K - $118K (Glassdoor est.),"Knowledge and understanding of data modeling, machine learning algorithms, statistical analysis, data visualization, and data engineering.…",(Glassdoor est.),,data,2d
ABN Tech Corp,,,"https://www.glassdoor.com/job-listing/data-scientist-nlp-python-abn-tech-corp-JV_KO0,25_KE26,39.htm?jl=1008932830288",Data Scientist(NLP/Python),"Woodland Hills, CA",$70.00 - $80.00 Per Hour (Employer est.),Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks;……,(Employer est.),Easy Apply,,4d
Brooklyn Sports & Entertainment2.8 ★,https://media.glassdoor.com/sql/1872344/bse-global-squarelogo-1556894692881.png,2.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-brooklyn-sports-and-entertainment-JV_KO0,14_KE15,48.htm?jl=1008935422502",Data Scientist,"Brooklyn, NY",$90K - $105K (Employer est.),"A Bachelor’s or Master’s degree in computer science, statistics, data science or relevant analytics field with 2+ years of data science experience.…",(Employer est.),,data,3d
Live Nation4 ★,https://media.glassdoor.com/sql/7601/live-nation-entertainment-squarelogo-1493661670552.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-live-nation-JV_KO0,14_KE15,26.htm?jl=1008809643558",Data Scientist,Remote,,"Drive continuous improvements to our products, tools, and processes by sharing learnings, constructive feedback, and input with internal technical and analytics……",,,,30d+
Eurofins USA BioPharma Services3.3 ★,https://media.glassdoor.com/sql/25113/eurofins-scientific-squarelogo-1618479071476.png,3.3 ★,"https://www.glassdoor.com/job-listing/scientist-i-data-review-eurofins-usa-biopharma-services-JV_KO0,23_KE24,55.htm?jl=1008935347175",Scientist I - Data Review,"Lancaster, PA",$47K - $72K (Glassdoor est.),"Eurofins is one of the market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, advanced material sciences and……",(Glassdoor est.),Easy Apply,,3d
Oscar Health3.4 ★,https://media.glassdoor.com/sql/812257/oscar-health-squarelogo-1605641163198.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-i-risk-analytics-oscar-health-JV_KO0,31_KE32,44.htm?jl=1008880127104","Data Scientist I, Risk Analytics","Los Angeles, CA",$119K - $156K (Employer est.),A bachelor's degree in a technical field OR 1+ years of relevant work experience. Master's degree in a technical field.…,(Employer est.),Easy Apply,,30d+
2HB Incorporated5 ★,https://media.glassdoor.com/sql/1185064/2hb-squarelogo-1478898014243.png,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-2hb-incorporated-JV_KO0,14_KE15,31.htm?jl=1008885752068",Data Scientist,"Chantilly, VA",$76K - $112K (Glassdoor est.),"Demonstrated experience creating data visualization mockups, prototypes of visualizations, documenting work processes and effectively demonstrating products to……",(Glassdoor est.),Easy Apply,data,28d
Zendesk3.5 ★,https://media.glassdoor.com/sql/360923/zendesk-squarelogo-1598501764503.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-ii-zendesk-JV_KO0,17_KE18,25.htm?jl=1008674271783",Data Scientist II,Remote,$102K - $152K (Employer est.),Have mastered SQL and can navigate a wide variety of data sets and tools. Have empathy for non-technical audiences and understand how to explain your findings.…,(Employer est.),,data,30d+
Vibronyx,,,"https://www.glassdoor.com/job-listing/data-scientist-vibronyx-JV_KO0,14_KE15,23.htm?jl=1008938413053",Data Scientist,Remote,,"Stay current on new technologies and methods across data science and analytics, data engineering, and data visualization, share best practices to improve……",,Easy Apply,data,1d
Kaizen Analytix3.3 ★,https://media.glassdoor.com/sql/3110426/kaizen-analytix-squarelogo-1638443716754.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-kaizen-analytix-JV_KO0,14_KE15,30.htm?jl=1008796789678",Data Scientist,Remote,$50.00 - $65.00 Per Hour (Employer est.),"Apply multi-variable, complex statistical analysis on large data sets to gain useful insights into the data, detect trends and outliers/invalid data conditions……",(Employer est.),Easy Apply,data,30d+
Integra Connect3.3 ★,https://media.glassdoor.com/sql/1410593/integra-connect-squarelogo-1551185554058.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-integra-connect-JV_KO0,14_KE15,30.htm?jl=1008935243930",Data Scientist,Remote,,"Bachelor’s degree in a field related to computational discipline (e.g., computer science, data science, AI, biomedical informatics, statistics, applied……",,Easy Apply,data,3d
EXL Services3.7 ★,https://media.glassdoor.com/sql/37901/exl-service-squareLogo-1632214666867.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-exl-services-JV_KO0,14_KE15,27.htm?jl=1008933296255",Data Scientist,Remote,$60K - $75K (Employer est.),"Minimum bachelor’s degree from a recognized university in Computer Science, Engineering or equivalent. We provide Life Sciences companies with enriched data,……",(Employer est.),,,4d
Simpson Thacher & Bartlett LLP4.1 ★,https://media.glassdoor.com/sql/3378/simpson-thacher-squarelogo-1389148265638.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-simpson-thacher-and-bartlett-llp-JV_KO0,14_KE15,47.htm?jl=1008905983705",Data Scientist,"New York, NY",$145K - $165K (Employer est.),"A bachelor's degree required, preferably in data science, mathematics, statistics, computer science, engineering, finance or a related field.…",(Employer est.),Easy Apply,data,19d
Pattern Bioscience4.5 ★,https://media.glassdoor.com/sql/3121511/klaris-squarelogo-1578500207595.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-pattern-bioscience-JV_KO0,14_KE15,33.htm?jl=1008870947628",Data Scientist,"Austin, TX",$86K - $126K (Glassdoor est.),Bachelor’s degree in a quantitative field with greater than 1 year of experience in an analytics role or an advanced degree in a quantitative field.…,(Glassdoor est.),,,30d+
DATSURA,,,"https://www.glassdoor.com/job-listing/data-analyst-data-scientist-datsura-JV_KO0,27_KE28,35.htm?jl=1008570854492",Data Analyst / Data Scientist,"Washington, DC",$120K - $150K (Employer est.),"Own and develop relationship with partners, working with them to optimize and enhance our integration. Experience in analyzing data to draw business-relevant……",(Employer est.),Easy Apply,data,30d+
Dell Technologies4.2 ★,https://media.glassdoor.com/sql/1327/dell-squarelogo-1558122709342.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-%E2%80%93-customer-growth-marketing-dell-technologies-JV_KO0,42_KE43,60.htm?jl=1008929907737",Data Scientist – Customer Growth Marketing,Remote,,"Solid industry experience in machine learning, data science, statistics, or related, including a demonstrated portfolio of productionized models and model……",,,data,5d
eCapital3.3 ★,https://media.glassdoor.com/sql/834402/ecapital-squarelogo-1549416875826.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-ecapital-JV_KO0,14_KE15,23.htm?jl=1008935831452",Data Scientist,Remote,,"Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline. Strong skill in communicating with users, other technical……",,Easy Apply,,3d
ShyftLabs4 ★,https://media.glassdoor.com/sql/2607226/shyftlabs-squareLogo-1692203763193.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-shyftlabs-JV_KO0,14_KE15,24.htm?jl=1008872433140",Data Scientist,"Denver, CO",$96K - $137K (Glassdoor est.),"Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression……",(Glassdoor est.),,,30d+
Meta3.9 ★,https://media.glassdoor.com/sql/40772/meta-squareLogo-1636117276319.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-center-faceng-retrofits-strategic-integration-and-delivery-lead-meta-JV_KO0,68_KE69,73.htm?jl=1008883038354",Data Center FacEng Retrofits Strategic Integration & Delivery Lead,"Austin, TX",,"Maintain, update standards and guidelines act as a technical engineering business owner for tooling ecosystem (DCI/MPI) and define technical system requirements……",,,,30d
CyberCoders4 ★,https://media.glassdoor.com/sql/245479/cybercoders-squarelogo-1579201407296.png,4 ★,"https://www.glassdoor.com/job-listing/deep-learning-data-scientist-cybercoders-JV_KO0,28_KE29,40.htm?jl=1008938589915",Deep Learning- Data Scientist,"Glendale, CA",$150K - $220K (Employer est.),"Work with state of the art technologies in AI and Computer Vision. Bachelor degree in Computer Science, Machine Learning, Computer Vision, or a related field.…",(Employer est.),Easy Apply,,1d
Brooksource4 ★,https://media.glassdoor.com/sql/227518/brooksource-squarelogo.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-brooksource-JV_KO0,14_KE15,26.htm?jl=1008909820181",Data Scientist,Remote,$35.00 - $40.00 Per Hour (Employer est.),"Three years total experience in data science or related field required, with experience analyzing real-world (noisy/imperfect/incomplete) datasets and……",(Employer est.),Easy Apply,data,17d
Zimmerman Advertising3.1 ★,https://media.glassdoor.com/sql/14452/zimmerman-advertising-squarelogo-1483635857299.png,3.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-zimmerman-advertising-JV_KO0,14_KE15,36.htm?jl=1008911504327",Data Scientist,"Fort Lauderdale, FL",,"Collaborate with cross-functional teams, including data scientists, product managers, data engineers, and software engineers, to design, develop and deploy……",,Easy Apply,data,16d
Conde Nast3.6 ★,https://media.glassdoor.com/sql/8360/cond%C3%A9-nast-squarelogo-1412700021543.png,3.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-i-conde-nast-JV_KO0,16_KE17,27.htm?jl=1008912981461",Data Scientist I,"New York, NY",$100K - $150K (Employer est.),"Condé Nast Entertainment was launched in 2011 to develop film, television and premium digital video programming. Condé Nast is an equal opportunity employer.…",(Employer est.),,,16d
Roche4.2 ★,https://media.glassdoor.com/sql/3480/roche-squarelogo-1518764875189.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-i-diagnostics-production-roche-JV_KO0,39_KE40,45.htm?jl=1008921571802",Data Scientist I - Diagnostics Production,"Santa Clara, CA",$94K - $175K (Employer est.),"Bachelor's Degree - required or Master’s Degree in computational biology, bioengineering, computer science, data science, data engineering, engineering, physics……",(Employer est.),,data,10d
QIAGEN3.8 ★,https://media.glassdoor.com/sql/6170/qiagen-squarelogo-1378493724603.png,3.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-qiagen-JV_KO0,14_KE15,21.htm?jl=1008870147032",Data Scientist,"Ann Arbor, MI",$43K - $88K (Employer est.),"Work cross-functionally to develop and implement data analytics tools to support molecular biologist, engineers, and assay developers to interpret results.…",(Employer est.),Easy Apply,data,30d+
Allen Institute3.5 ★,https://media.glassdoor.com/sql/155869/allen-institute-for-brain-science-squarelogo-1544750442650.png,3.5 ★,"https://www.glassdoor.com/job-listing/scientist-i-informatics-and-data-science-allen-institute-JV_KO0,40_KE41,56.htm?jl=1008853007796",Scientist I - Informatics and Data Science,"Seattle, WA",$75K - $105K (Employer est.),This scientist will work with the Institute’s quantitative and experimental scientists on high-priority problems involving machine learning that include (i)……,(Employer est.),Easy Apply,scientist,30d+
TriNet3.8 ★,https://media.glassdoor.com/sql/5494/trinet-squareLogo-1680727779642.png,3.8 ★,"https://www.glassdoor.com/job-listing/associate-data-scientist-trinet-JV_KO0,24_KE25,31.htm?jl=1008898049995",Associate Data Scientist,Remote,$64K - $105K (Employer est.),"Has begun to own small-to-medium features for technical design, through to completion is able to know when to ask for help, in order to get themselves unblocked……",(Employer est.),,,23d
Vagaro3.7 ★,https://media.glassdoor.com/sql/1347050/vagaro-squareLogo-1677699662498.png,3.7 ★,"https://www.glassdoor.com/job-listing/engineering-manager-machine-learning-vagaro-JV_KO0,36_KE37,43.htm?jl=1008864594928","Engineering Manager, Machine Learning","Pleasanton, CA",$170K - $210K (Employer est.),"*Algorithm Development*: Drive the research, design, and implementation of advanced ML and Generative AI algorithms to enhance model capabilities.…",(Employer est.),Easy Apply,,30d+
Enigma,https://media.glassdoor.com/sql/5300408/enigma-solicitors-squarelogo-1645015727850.png,,"https://www.glassdoor.com/job-listing/staff-data-scientist-enigma-JV_KO0,20_KE21,27.htm?jl=1008884034689",Staff Data Scientist,Remote,$180K - $240K (Employer est.),Effectively communicate with technical and non-technical audiences. You have experience in credit risk modeling or extracting signal from credit card……,(Employer est.),Easy Apply,,30d
Catholic Relief Services4.1 ★,https://media.glassdoor.com/sql/135790/catholic-relief-services-squarelogo.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-catholic-relief-services-JV_KO0,14_KE15,39.htm?jl=1008918181361",Data Scientist,Remote,,"They will work as part of a cross-functional team, identifying opportunities to leverage data science within specific programmatic sectors, leading the search……",,,data,12d
Comcast3.8 ★,https://media.glassdoor.com/sql/1280/comcast-squarelogo-1552675219892.png,3.8 ★,"https://www.glassdoor.com/job-listing/ml-engineer-3-comcast-JV_KO0,13_KE14,21.htm?jl=1008917368277",ML Engineer 3,"Philadelphia, PA",$88K - $205K (Employer est.),"Researches, writes and edits documentation and technical requirements, including evaluation plans, confluence pages, white papers, presentations, test results,……",(Employer est.),,,12d
Hatch IT5 ★,https://media.glassdoor.com/sql/2064172/hatch-it-squarelogo-1572528397999.png,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-hatch-it-JV_KO0,14_KE15,23.htm?jl=1008937473296",Data Scientist,"Falls Church, VA",$82K - $118K (Glassdoor est.),JDSAT is looking for an experienced Data Scientist candidate who is able to design and develop solutions across network domains to address business needs and……,(Glassdoor est.),,Data,2d
Imagine Pediatrics,,,"https://www.glassdoor.com/job-listing/staff-data-scientist-imagine-pediatrics-JV_KO0,20_KE21,39.htm?jl=1008884367612",Staff Data Scientist,"Nashville, TN",$180K (Employer est.),Collaborate with internal teams to implement the needed infrastructure to deploy ML/AI tools at scale. Communicate with business stakeholders to understand……,(Employer est.),Easy Apply,,30d
Colgate-Palmolive4.2 ★,https://media.glassdoor.com/sql/162/colgate-palmolive-squarelogo-1515101473655.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-colgate-palmolive-JV_KO0,14_KE15,32.htm?jl=1008868919625",Data Scientist,"Piscataway, NJ",$112K - $165K (Employer est.),"Bachelor's Degree Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Use data mining techniques when needed.…",(Employer est.),,data,30d+
DT4o,,,"https://www.glassdoor.com/job-listing/data-scientist-dt4o-JV_KO0,14_KE15,19.htm?jl=1007951848525",Data Scientist,Remote,,"3+ years of experience in data mining, statistical analysis, modeling, optimization. Experience and demonstrated skill in creating mathematical models.…",,,data,30d+
Snowflake4 ★,https://media.glassdoor.com/sql/928471/snowflake-squareLogo-1657231318224.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-snowflake-JV_KO0,21_KE22,31.htm?jl=1008880821597",Senior Data Scientist,"San Mateo, CA",$180K - $276K (Employer est.),"Ability to clearly present learnings to business leaders and technical stakeholders. Build high quality data pipelines , inform engineering for relevant……",(Employer est.),,data,30d+
Elite Insurance Partners4.4 ★,https://media.glassdoor.com/sql/1668845/elite-insurance-partners-squarelogo-1503646315814.png,4.4 ★,"https://www.glassdoor.com/job-listing/ai-engineer-elite-insurance-partners-JV_KO0,11_KE12,36.htm?jl=1008931016546",AI Engineer,"Tampa, FL",$100K - $120K (Employer est.),"Bachelor’s or higher degree in Mathematics, Computer Science, a similar technical field of study, or equivalent practical experience.…",(Employer est.),Easy Apply,,5d
SAP4.3 ★,https://media.glassdoor.com/sql/10471/sap-squareLogo-1658433034046.png,4.3 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-sap-JV_KO0,21_KE22,25.htm?jl=1008925923249",Senior Data Scientist,"Palo Alto, CA",$183K - $192K (Employer est.),"Bachelor's degree or foreign equivalent in Computer Science, Management Information Systems, Engineering, Mathematics, or a related field of study and 6 years……",(Employer est.),,,8d
Koddi3.7 ★,https://media.glassdoor.com/sql/1154872/koddi-squarelogo-1542222441091.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-koddi-JV_KO0,14_KE15,20.htm?jl=1008384126912",Data Scientist,Remote,,"You have an advanced degree in statistics, computer science, operational research, engineering or related field. Experience with Spark and TensorFlow.…",,,,30d+
Wiliot4.5 ★,https://media.glassdoor.com/sql/2024830/wiliot-squareLogo-1628019099660.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-wiliot-JV_KO0,14_KE15,21.htm?jl=1008908022147",Data Scientist,"Dallas, TX",$79K - $117K (Glassdoor est.),"Work with cross-functional stakeholders such as product management, marketing, and SW engineering. Work hands-on with the data using SQL, PySpark, and other……",(Glassdoor est.),Easy Apply,data,18d
State of Wisconsin Investment Board3.8 ★,https://media.glassdoor.com/sql/9765/swib-squarelogo-1525354921660.png,3.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-state-of-wisconsin-investment-board-JV_KO0,14_KE15,50.htm?jl=1008937215701",Data Scientist,"Madison, WI",$78K - $109K (Glassdoor est.),"Bachelor’s degree or advanced degree in finance, business, engineering, computer science, computational economics, math, data science or a related program.…",(Glassdoor est.),Easy Apply,data,2d
Mayvue,,,"https://www.glassdoor.com/job-listing/data-scientist-mayvue-JV_KO0,14_KE15,21.htm?jl=1008905807398",Data Scientist,"Pittsburgh, PA",$86K - $130K (Glassdoor est.),"Design, develop, and implement machine learning models and algorithms. Experience/technical skill set must include relational databases and SQL; data……",(Glassdoor est.),Easy Apply,,19d
Pinterest3.7 ★,https://media.glassdoor.com/sql/503467/pinterest-squareLogo-1617809885495.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-data-platform-sciences-pinterest-JV_KO0,37_KE38,47.htm?jl=1008905458307","Data Scientist, Data Platform Sciences",Remote,,"Proven ability to design and implement machine learning models, as well as evaluate and optimize their performance on large datasets.…",,,,19d
"Arch Systems, LLC",,,"https://www.glassdoor.com/job-listing/data-scientist-arch-systems-llc-JV_KO0,14_KE15,31.htm?jl=1008918017159",Data Scientist,Remote,$100.00 Per Hour (Employer est.),"Develop and deliver data capacity-building content for internal non-technical audiences, including 1:1 mentorship and formal training.…",(Employer est.),Easy Apply,data,12d
Ntropy Network5 ★,,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-ntropy-network-JV_KO0,14_KE15,29.htm?jl=1008235324113",Data scientist,"New York, NY",$130K (Employer est.),"Languages, frameworks, libraries, compilers, etc. are just tools for a job. The tools: Python, Pandas / Polars, Matplotlib, sklearn, etc.…",(Employer est.),,,30d+
DATACOLOR INC4.5 ★,https://media.glassdoor.com/sql/9745/datacolor-squarelogo-1501518005647.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-datacolor-inc-JV_KO0,14_KE15,28.htm?jl=1008609114190",Data Scientist,"Lawrenceville, NJ",$80K - $120K (Glassdoor est.),Documenting and communicating the technical details of the machine learning algorithm and data analysis results to both technical and non-technical stakeholders……,(Glassdoor est.),Easy Apply,data,30d+
Adobe4.4 ★,https://media.glassdoor.com/sql/1090/adobe-squareLogo-1696430095326.png,4.4 ★,"https://www.glassdoor.com/job-listing/2024-university-graduate-data-scientist-adobe-JV_KO0,39_KE40,45.htm?jl=1008860598526",2024 University Graduate - Data Scientist,"Seattle, WA",$83K - $153K (Employer est.),"Knowledge of relevant tools in this field such as Hadoop, Hive, Splunk, Spark, Tableau, Excel (Charting and Pivot-Tables), and Power BI.…",(Employer est.),,,30d+
International Services Management,https://media.glassdoor.com/sql/7855977/international-services-management-squarelogo-1666348341602.png,,"https://www.glassdoor.com/job-listing/data-scientist-international-services-management-JV_KO0,14_KE15,48.htm?jl=1005883130690",Data Scientist,"Pittsburgh, PA",$67K - $106K (Glassdoor est.),"Please contact Johan van Wyk at johan@ismnow.com or submit your resume online. Candidate should have a BS degree with 5+ years of experience, a MS with 2+ years……",(Glassdoor est.),Easy Apply,,30d+
Disruptive Solutions4 ★,https://media.glassdoor.com/sql/7976096/disruptive-solutions-squarelogo-1668769377983.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-disruptive-solutions-JV_KO0,14_KE15,35.htm?jl=1008156649494",Data Scientist,Remote,$120K - $140K (Employer est.),"The best athlete candidate for this position will be able to apply advanced consulting skills, extensive technical expertise and has full industry knowledge to……",(Employer est.),Easy Apply,,30d+
KesarWeb1 ★,https://media.glassdoor.com/sql/1581336/kesar-web-squarelogo-1585743690530.png,1 ★,"https://www.glassdoor.com/job-listing/data-scientist-kesarweb-JV_KO0,14_KE15,23.htm?jl=1008816959787",Data Scientist,"Baltimore, MD",$91K - $103K (Employer est.),"BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.…",(Employer est.),Easy Apply,Data,30d+
Idea Evolver3.7 ★,https://media.glassdoor.com/sql/1143632/idea-evolver-squarelogo-1599154123871.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-idea-evolver-JV_KO0,14_KE15,27.htm?jl=1008802470229",Data Scientist,Remote,,"Undergraduate degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics).…",,Easy Apply,,30d+
Vive Financial3.7 ★,https://media.glassdoor.com/sql/760262/vive-financial-squareLogo-1673615219483.png,3.7 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-vive-financial-JV_KO0,21_KE22,36.htm?jl=1008924137256",Senior Data Scientist,"Draper, UT",$108K - $144K (Glassdoor est.),"Master’s degree in a quantitative or technical field (Math, Statistics, Engineering, Economics, Physics, Computer Science, etc.). Paid Time Off + Paid Holidays.…",(Glassdoor est.),,,9d
Saporis Engineering LLC,,,"https://www.glassdoor.com/job-listing/data-scientist-saporis-engineering-llc-JV_KO0,14_KE15,38.htm?jl=1008923412747",Data Scientist,"New York, NY",$150K - $180K (Employer est.),"You will be responsible in driving business results through data-based insights by leveraging variety of data mining/data analysis methods, using a variety of……",(Employer est.),Easy Apply,data,10d
Milu Health,https://media.glassdoor.com/sql/7821096/milu-variedades-squarelogo-1665752338730.png,,"https://www.glassdoor.com/job-listing/data-scientist-milu-health-JV_KO0,14_KE15,26.htm?jl=1008455481979",Data Scientist,Remote,,"5-10 years of data science / data analysis experience, 3-5 years in healthcare. As that data scientist, you will be responsible for the design and development……",,Easy Apply,data,30d+
Aidence4 ★,https://media.glassdoor.com/sql/4066476/aidence-squarelogo-1630587666902.png,4 ★,"https://www.glassdoor.com/job-listing/clinical-data-research-scientist-aidence-JV_KO0,32_KE33,40.htm?jl=1008937267307",Clinical Data Research Scientist,Remote,,"Degree(s) in computer science, data science, biostastics, bioinformatics, medical engineering or related scientific field. A cover letter that includes:…",,Easy Apply,data,2d
Ivy Tech Solutions inc3.6 ★,https://media.glassdoor.com/sql/254788/ivy-tech-solutions-squarelogo.png,3.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-ivy-tech-solutions-inc-JV_KO0,14_KE15,37.htm?jl=1007179254076",Data Scientist,Remote,,"Bachelor's or Master's degree in computer science, data science, statistics, mathematics, business administration and/or related field or the foreign equivalent……",,Easy Apply,data,30d+
Soothsayer Analytics2.9 ★,https://media.glassdoor.com/sql/2346576/soothsayer-analytics-squarelogo-1629438695705.png,2.9 ★,"https://www.glassdoor.com/job-listing/junior-data-scientist-soothsayer-analytics-JV_KO0,21_KE22,42.htm?jl=1006370197437",Junior Data Scientist,"Livonia, MI",$72K - $107K (Glassdoor est.),"Data engineering experience, including SQL and manipulating large structured or unstructured datasets for analysis.…",(Glassdoor est.),,Data,30d+
Trane Technologies3.9 ★,https://media.glassdoor.com/sql/349/trane-technologies-squarelogo-1583104979037.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-trane-technologies-JV_KO0,14_KE15,33.htm?jl=1008934863554",Data Scientist,"Davidson, NC",$100K - $145K (Employer est.),"5+ years of experience in a hands-on data science role, additional years of experience in related analytics field a plus. Base Pay Range: $100,000 - $145,000.…",(Employer est.),,data,3d
